Run ID,Scenario ID,Area,Screen,Device,Build,Preconditions,Steps,Expected Result,Result,Evidence,Notes,Follow-up
2026-05-25-qa-start,NAV-001,Navigation,Drawer + tabs,emulator-5554,debug APK,"QA seed loaded","Open app, drawer, tabs, and each route","Every route opens without crash and back works",Not run,,Queued for emulator pass,
2026-05-25-qa-start,ADD-001,Add Record,Expense income transfer,emulator-5554,debug APK,"INR and GBP accounts exist","Save expense, income, transfer, card payment, loan EMI, pending and scheduled states","Records save with correct account/category/currency/status",Not run,,Queued for emulator pass,
2026-05-25-qa-start,FX-001,Multi-currency,INR GBP,emulator-5554,debug APK,"GBP rate exists","Create GBP spend on GBP account and GBP purchase on INR card","Original and posted amounts remain correct",Not run,,Queued for emulator pass,
2026-05-25-qa-start,REC-001,Recurring,QA plan,emulator-5554,debug APK,"Fresh or existing demo ledger","Tap Add QA plan twice","INR/GBP accounts, bills, card dues, EMIs, captures seed once",Not run,,Idempotency check,
2026-05-25-qa-start,REC-002,Recurring,Auto record due,emulator-5554,debug APK,"Overdue scheduled item exists","Tap Auto record due","Due scheduled records become cleared recurring records",Not run,,Queued for emulator pass,
2026-05-25-qa-start,CARD-001,Cards,Planned card payments,emulator-5554,debug APK,"Credit card and same-currency bank exist","Open Cards and schedule payment","Scheduled card_payment is created or duplicate-safe",Not run,,Queued for emulator pass,
2026-05-25-qa-start,LOAN-001,Loans,EMI reminder,emulator-5554,debug APK,"INR and GBP loan accounts exist","Open Loans and schedule EMI for primary loan","Scheduled loan_repayment uses loan currency and positive EMI",Not run,,Covers non-base-currency fix,
2026-05-25-qa-start,NOTIF-001,Notifications,Due inbox,emulator-5554,debug APK,"Scheduled records due within 7 days","Open Notifications and filter reminders","Card, loan EMI, bills, overdue/today states render",Not run,,Queued for emulator pass,
2026-05-25-qa-start,PERM-001,Android permissions,Package manifest,emulator-5554,debug APK,"Fresh APK installed","Run dumpsys package for the app package","Only expected permissions are declared",Pass,,"Declared: CAMERA READ_MEDIA_IMAGES READ_EXTERNAL_STORAGE POST_NOTIFICATIONS VIBRATE; absent: RECORD_AUDIO SYSTEM_ALERT_WINDOW WRITE_EXTERNAL_STORAGE",
2026-05-25-qa-start,CAMERA-001,Receipts,Camera bill,emulator-5554,debug APK,"Camera permission not granted","Tap camera receipt path and deny/allow","Prompt and error/review candidate path work without crash",Not run,,OCR is known pending,
2026-05-25-qa-start,SMS-001,Imports,SMS parser,emulator-5554,debug APK,"Manual SMS import screen open","Parse INR debit, EMI, card payment, OTP, GBP email samples","Valid transactions queue review; OTP ignored",Not run,,No READ_SMS policy-safe path,
2026-05-25-qa-start,WIDGET-001,Home widgets,Dashboard widgets,emulator-5554,debug APK,"QA seed loaded","Show/reorder widgets and inspect new forecast/bills/cards/loans/runway widgets","Widgets render with no invalid icons or clipped text",Not run,,Queued for emulator pass,
2026-05-25-qa-start,CAT-001,Categories,Taxonomy,emulator-5554,debug APK,"Ledger loaded","Open Categories and search/browse bills/finance/income","Expanded bill, EMI, card, tax, UK categories exist",Not run,,Queued for emulator pass,
2026-05-25-calendar,CAL-001,Calendar,Monthly forecast,emulator-5554,debug APK,"QA ledger with scheduled recurring records","Open onewallet://calendar and inspect the month forecast header","Forecast header shows Net Income Expense columns, includes planned records, and has no Today button",Pass,screenshots/onewallet-calendar-forecast-cold.png; screenshots/window-calendar-cold.xml,"Cold route smoke found Calendar Net Income Expense; Today absent; focused log scan returned no React Native fatal or ReferenceError matches",
