Area,Screen,Scenario,Combination,Expected Result,Current Coverage,Fix Status,Notes
Navigation,Home,Open drawer and every drawer route,Home/Notifications/Records/Calendar/Planner/Accounts/Add/Review/Imports/Reports/Currencies/Categories/Cards/Loans/Recurring/Rules/Widgets/Settings,Each route opens without crash and back navigation returns,Manual emulator pass required,To verify,Use drawer smoke test
Navigation,Bottom tabs,Switch Home Accounts Transactions Calendar Planner,5 tabs,Tab content loads and FABs do not overlap nav,Implemented,To verify,Calendar tab exists in current mobile route set
Home widgets,Balance hero,Tap currency chip/cycle display currency,INR and GBP enabled,Balance changes currency using stored FX,Implemented,To verify,Uses enabled currencies and exchange rates
Home widgets,Account grid,Tap account then tap again,Included vs archived accounts,Dashboard filters to selected account then resets,Implemented,To verify,Needs touch pass on emulator
Home widgets,Upcoming scheduled,Create scheduled bill and view Home widget,Expense/income/card payment/loan EMI,Widget lists due records sorted by due date,Implemented,Fixed,Add Record now supports scheduled status
Home widgets,Due now,Overdue or today scheduled items exist,Expense/card payment/loan repayment,Widget highlights due count and amount,Implemented,Fixed,New widget added
Home widgets,EMI tracker,Loan repayment scheduled record exists,INR loan and bank account,Widget shows next EMI and monthly scheduled EMI total,Implemented,Fixed,New widget added
Home widgets,Automation health,Pending captures/import warnings/scheduled items exist,SMS email notification import,Widget summarizes automation workload,Implemented,Fixed,New widget added
Home widgets,Dashboard customizer,Hide/show/reorder/resize widgets,All widgets including new ones,Preferences persist and Home reflects changes,Implemented,To verify,No native drag; buttons move order
Add Record,Expense save,INR bank account + Food category + charges,Amount > charges,Creates cleared expense and optional split line items,Implemented,To verify,Calculator keypad supports operators
Add Record,Income save,INR bank account + Salary category,Positive amount,Creates cleared income and updates account balance,Implemented,To verify,Category kind switches to income
Add Record,Transfer save,INR bank to INR wallet,Regular transfer,Creates transfer with counter account,Implemented,To verify,Transfer has no category
Add Record,Credit card payment,INR bank to INR credit card,Transfer purpose Card payment,Creates card_payment scheduled or cleared record,Implemented,Fixed,New transfer purpose selector
Add Record,Loan EMI payment,INR bank to INR loan,Transfer purpose Loan EMI,Creates loan_repayment scheduled or cleared record,Implemented,Fixed,New transfer purpose selector
Add Record,Adjustment,Any account positive/negative amount,No category/counter account,Creates balance correction and allows negative,Implemented,To verify,Sign key and validation
Add Record,Scheduled bill,Future date + status Scheduled,Expense/income/transfer,Creates planned record without affecting current balance,Implemented,Fixed,New status selector
Add Record,Pending transaction,Status Pending,Expense/income/transfer,Creates pending record and appears in transaction filters,Implemented,Fixed,New status selector
Add Record,GBP purchase from INR card,Purchase currency GBP posted to INR account,Main keypad amount stays GBP; INR equivalent appears below; original amount/rate stored and posted amount stays account currency,Implemented,To verify,Refreshes stale/missing FX if older than one hour
Add Record,Stale FX refresh before save,Enabled GBP plus stale or missing GBP/INR rate,Change purchase currency or save foreign spend,App refreshes latest rate before conversion or asks for manual rate if unavailable,Implemented,To verify,Uses frankfurter.app through state FX refresh
Add Record,GBP account expense,GBP bank/prepaid account,GBP currency amount,Saves directly in GBP and converts for dashboard,Implemented,To verify,Requires GBP account
Add Record,Receipt camera,Tap camera icon,Android CAMERA permission,Permission prompt appears; denial shows clear error,Implemented,To verify,Uses expo-image-picker
Add Record,Receipt photo library,Tap Photo,Android media/photo permission,Permission prompt appears; selected image creates review candidate,Implemented,To verify,Android 13 image permission declared
Add Record,Receipt file,Tap File,PDF/image file,Document picker creates review candidate,Implemented,To verify,No storage read permission needed with picker
Accounts,New bank account,INR bank with last 4 and institution,Opening balance,Account appears in account list/Home,Implemented,To verify,New account form
